TransactionID,Date,CustomerID,Gender,Age,ProductCategory,ProductName,Quantity,UnitPrice,TotalPrice,Branch,PaymentMethod
5001,1/1/2023 0:00,3366,Female,66,Snacks,Cookies,6,47.13,282.78,A,Bank Transfer
5002,1/1/2023 1:00,3383,Male,48,Beverage,Soft Drink,8,24.68,197.44,C,Bank Transfer
5003,1/1/2023 2:00,3323,Female,54,Dairy,Cheese,10,60.18,601.8,A,Credit Card
5004,1/1/2023 3:00,3477,Male,29,Electronics,USB Cable,8,107.79,862.32,C,Credit Card
5005,1/1/2023 4:00,3099,Male,48,Beverage,Mineral Water,3,118.46,355.38,C,Credit Card
5006,1/1/2023 5:00,3231,,63,Household,Detergent,4,92.16,368.64,A,Cash
5007,1/1/2023 6:00,3018,Male,55,Personal Care,Soap,7,117.63,823.41,C,E-Wallet
5008,1/1/2023 7:00,3084,Male,68,Household,Detergent,10,75.65,756.5,D,Credit Card
5009,1/1/2023 8:00,3107,,59,Dairy,Butter,1,23.84,23.84,B,E-Wallet
5010,1/1/2023 9:00,3124,Female,60,Electronics,Earphones,9,104.46,940.14,D,Bank Transfer
5011,1/1/2023 10:00,3058,Male,52,Beverage,Soft Drink,9,102.59,923.31,A,Cash
5012,1/1/2023 11:00,3215,Male,54,Dairy,Butter,4,55.57,222.28,D,E-Wallet
5013,1/1/2023 12:00,3226,Male,31,Household,Dish Soap,11,71.42,785.62,B,Credit Card
5014,1/1/2023 13:00,3097,Female,66,Dairy,Milk,6,65.85,395.1,A,Credit Card
5015,1/1/2023 14:00,3114,Male,49,Dairy,Cheese,3,73.26,219.78,A,E-Wallet
5016,1/1/2023 15:00,3127,Male,21,Produce,Carrots,4,88.15,352.6,D,E-Wallet
5017,1/1/2023 16:00,3048,Male,67,Produce,Carrots,11,86.41,950.51,A,E-Wallet
5018,1/1/2023 17:00,3074,Male,20,Electronics,Phone Case,4,98.28,393.12,B,E-Wallet
5019,1/1/2023 18:00,3033,Female,44,Electronics,Phone Case,11,21.11,232.21,C,Credit Card
5020,1/1/2023 19:00,3431,Female,40,Household,Cleaner,3,66.37,199.11,A,Cash
5021,1/1/2023 20:00,3225,Female,41,,,10,14.38,143.8,C,Credit Card
5022,1/1/2023 21:00,3112,Female,59,Household,Tissue,4,83.3,333.2,D,Bank Transfer
5023,1/1/2023 22:00,3410,Female,52,Electronics,USB Cable,11,100.76,1108.36,C,Bank Transfer
5024,1/1/2023 23:00,3340,Female,24,Dairy,Cheese,1,81.29,81.29,A,Cash
5025,1/2/2023 0:00,3335,Male,23,Snacks,Nuts,3,74.1,222.3,C,Bank Transfer
5026,1/2/2023 1:00,3254,Male,53,Personal Care,Shampoo,10,37.25,372.5,B,Bank Transfer
5027,1/2/2023 2:00,3421,Female,37,Household,Detergent,7,107.16,750.12,A,E-Wallet
5028,1/2/2023 3:00,3097,Male,55,Dairy,Butter,8,50.71,405.68,A,Bank Transfer
5029,1/2/2023 4:00,3209,Male,50,Household,Tissue,11,114.51,1259.61,C,E-Wallet
5030,1/2/2023 5:00,3069,Male,27,Electronics,Earphones,2,116.4,232.8,D,Credit Card
5031,1/2/2023 6:00,3306,Male,52,Snacks,Cookies,5,30.75,153.75,C,Credit Card
5032,1/2/2023 7:00,3312,Male,69,Frozen,Frozen Pizza,1,87.57,87.57,C,Bank Transfer
5033,1/2/2023 8:00,3452,Male,39,Beverage,Mineral Water,5,14.71,73.55,C,E-Wallet
5034,1/2/2023 9:00,3003,,36,Snacks,Chips,8,108.74,869.92,B,Cash
5035,1/2/2023 10:00,3341,Male,59,Beverage,Juice,6,17.08,102.48,A,Credit Card
5036,1/2/2023 11:00,3040,Female,22,Dairy,Milk,3,16.66,49.98,C,Bank Transfer
5037,1/2/2023 12:00,3323,Male,55,Household,Cleaner,6,100.4,602.4,B,Bank Transfer
5038,1/2/2023 13:00,3085,Male,23,Electronics,USB Cable,11,24.24,266.64,B,Bank Transfer
5039,1/2/2023 14:00,3048,Male,69,Electronics,Earphones,5,56.92,284.6,A,Bank Transfer
5040,1/2/2023 15:00,3446,Male,17,Snacks,Nuts,11,25.58,281.38,C,E-Wallet
5041,1/2/2023 16:00,3177,,35,Personal Care,Toothpaste,1,76.67,76.67,D,Credit Card
5042,1/2/2023 17:00,3136,Female,37,Household,Cleaner,7,84.82,593.74,D,Credit Card
5043,1/2/2023 18:00,3362,Male,46,Household,Detergent,9,51.05,459.45,B,Credit Card
5044,1/2/2023 19:00,3100,Female,39,Beverage,Energy Drink,8,88.5,708,C,Bank Transfer
5045,1/2/2023 20:00,3381,Male,18,Snacks,Nuts,8,14.16,113.28,B,Bank Transfer
5046,1/2/2023 21:00,3349,Male,26,Personal Care,Toothpaste,4,103.14,412.56,C,E-Wallet
5047,1/2/2023 22:00,3181,Female,58,Beverage,Mineral Water,2,88.05,176.1,A,Bank Transfer
5048,1/2/2023 23:00,3359,Female,63,Beverage,Energy Drink,7,19.95,139.65,D,Bank Transfer
5049,1/3/2023 0:00,3354,Female,52,Snacks,Crackers,9,26.16,235.44,D,Cash
5050,1/3/2023 1:00,3214,Female,66,Beverage,Soft Drink,3,44.23,132.69,B,E-Wallet
5051,1/3/2023 2:00,3119,Female,32,Electronics,Phone Case,10,78.82,788.2,C,E-Wallet
5052,1/3/2023 3:00,3351,Male,43,Dairy,Butter,9,84.76,762.84,B,Cash
